contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Expiration_date
IBIT250516C00033000,2024-11-20 20:33:58+00:00,33.0,26.3,26.0,26.7,1.6999989,6.910564,4.0,26.0,0.9062509375,True,REGULAR,USD,2025-05-16
IBIT250516C00034000,2024-11-22 17:50:10+00:00,34.0,26.6,25.3,25.8,5.300001,24.882635,1.0,5.0,0.8940440283203124,True,REGULAR,USD,2025-05-16
IBIT250516C00035000,2024-11-22 18:32:05+00:00,35.0,24.45,24.5,25.1,-0.37999916,-1.5304034,39.0,162.0,0.8867198828124999,True,REGULAR,USD,2025-05-16
IBIT250516C00036000,2024-11-22 17:34:19+00:00,36.0,24.0,23.7,24.3,0.39999962,1.6949136,339.0,50.0,0.8728040063476561,True,REGULAR,USD,2025-05-16
IBIT250516C00037000,2024-11-21 15:10:43+00:00,37.0,22.4,22.9,23.4,0.0,0.0,6.0,7.0,0.8527846752929689,True,REGULAR,USD,2025-05-16
IBIT250516C00039000,2024-11-20 19:27:38+00:00,39.0,19.7,0.0,0.0,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD,2025-05-16
IBIT250516C00040000,2024-11-22 20:48:52+00:00,40.0,21.0,20.8,21.1,0.0,0.0,59.0,584.0,0.825929475097656,True,REGULAR,USD,2025-05-16
IBIT250516C00041000,2024-11-22 19:43:26+00:00,41.0,20.35,20.0,20.7,1.75,9.408602,5.0,12.0,0.8273943041992187,True,REGULAR,USD,2025-05-16
IBIT250516C00043000,2024-11-22 17:24:30+00:00,43.0,19.17,18.7,19.3,2.67,16.18182,4.0,3.0,0.8129901513671874,True,REGULAR,USD,2025-05-16
IBIT250516C00044000,2024-11-22 18:48:11+00:00,44.0,18.4,18.1,18.6,0.69999886,3.9547958,4.0,5.0,0.8065204895019531,True,REGULAR,USD,2025-05-16
IBIT250516C00045000,2024-11-22 20:42:52+00:00,45.0,17.7,17.4,17.9,0.30000114,1.7241446,84.0,306.0,0.7950459948730468,True,REGULAR,USD,2025-05-16
IBIT250516C00046000,2024-11-20 20:56:44+00:00,46.0,15.5,0.0,0.0,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD,2025-05-16
IBIT250516C00047000,2024-11-22 17:24:30+00:00,47.0,16.72,16.3,16.8,0.01999855,0.119751796,7.0,76.0,0.7934590966796875,True,REGULAR,USD,2025-05-16
IBIT250516C00048000,2024-11-22 19:08:24+00:00,48.0,16.07,15.8,16.2,-0.22999954,-1.4110402,502.0,104.0,0.7907735766601562,True,REGULAR,USD,2025-05-16
IBIT250516C00049000,2024-11-22 14:44:37+00:00,49.0,15.55,15.2,15.7,-0.14999962,-0.9554116,5.0,286.0,0.7873556420898438,True,REGULAR,USD,2025-05-16
IBIT250516C00050000,2024-11-22 20:54:40+00:00,50.0,14.98,14.7,15.2,0.07999992,0.53691226,185.0,1288.0,0.7863790893554687,True,REGULAR,USD,2025-05-16
IBIT250516C00051000,2024-11-22 18:31:35+00:00,51.0,14.4,14.2,14.7,0.29999924,2.127654,3.0,223.0,0.7845480529785156,True,REGULAR,USD,2025-05-16
IBIT250516C00052000,2024-11-22 20:48:13+00:00,52.0,13.85,13.7,14.2,-0.14999962,-1.0714258,71.0,663.0,0.7817404638671875,True,REGULAR,USD,2025-05-16
IBIT250516C00053000,2024-11-22 19:28:41+00:00,53.0,13.4,13.3,13.7,-0.4800005,-3.4582167,194.0,1197.0,0.7814963256835938,True,REGULAR,USD,2025-05-16
IBIT250516C00054000,2024-11-22 20:17:39+00:00,54.0,13.2,12.8,13.3,-0.10000038,-0.75188255,34.0,1023.0,0.780275634765625,True,REGULAR,USD,2025-05-16
IBIT250516C00055000,2024-11-22 20:57:37+00:00,55.0,12.5,12.6,12.8,-0.3000002,-2.3437514,3123.0,8365.0,0.7849142602539063,True,REGULAR,USD,2025-05-16
IBIT250516C00056000,2024-11-22 20:39:09+00:00,56.0,12.1,11.9,12.4,-0.34999943,-2.8112404,371.0,690.0,0.7752708020019532,True,REGULAR,USD,2025-05-16
IBIT250516C00057000,2024-11-22 20:40:35+00:00,57.0,11.78,11.5,12.0,-0.40999985,-3.3634114,156.0,270.0,0.7749045947265626,False,REGULAR,USD,2025-05-16
IBIT250516C00058000,2024-11-22 20:30:19+00:00,58.0,11.44,11.3,11.7,-0.22000027,-1.8867947,30.0,317.0,0.7835715002441408,False,REGULAR,USD,2025-05-16
IBIT250516C00059000,2024-11-22 20:09:17+00:00,59.0,11.3,10.8,11.3,-0.19999981,-1.7391288,7.0,97.0,0.778200460205078,False,REGULAR,USD,2025-05-16
IBIT250516C00060000,2024-11-22 20:59:47+00:00,60.0,10.65,10.6,11.0,-0.2800007,-2.5617628,1531.0,3440.0,0.7851583984375,False,REGULAR,USD,2025-05-16
IBIT250516C00061000,2024-11-22 20:17:52+00:00,61.0,10.4,10.2,10.6,-0.24000072,-2.2556458,331.0,240.0,0.7816183947753907,False,REGULAR,USD,2025-05-16
IBIT250516C00062000,2024-11-22 20:05:30+00:00,62.0,10.0,9.8,10.3,-0.3000002,-2.9126232,101.0,241.0,0.7806418420410157,False,REGULAR,USD,2025-05-16
IBIT250516C00063000,2024-11-22 20:40:27+00:00,63.0,9.6,9.5,10.0,-0.2699995,-2.7355573,64.0,175.0,0.782228740234375,False,REGULAR,USD,2025-05-16
IBIT250516C00064000,2024-11-22 20:42:08+00:00,64.0,9.4,9.2,9.7,-0.32999992,-3.3915718,41.0,378.0,0.7830832238769532,False,REGULAR,USD,2025-05-16
IBIT250516C00065000,2024-11-22 20:57:40+00:00,65.0,9.2,9.0,9.2,-0.15999985,-1.7094002,212.0,562.0,0.7800314965820312,False,REGULAR,USD,2025-05-16
IBIT250516C00066000,2024-11-22 20:54:40+00:00,66.0,8.8,8.8,9.1,-0.3000002,-3.2967052,107.0,77.0,0.7891866784667969,False,REGULAR,USD,2025-05-16
IBIT250516C00067000,2024-11-22 20:39:52+00:00,67.0,8.5,8.4,8.9,-0.26000023,-2.968039,49.0,138.0,0.7882101257324219,False,REGULAR,USD,2025-05-16
IBIT250516C00068000,2024-11-22 17:31:54+00:00,68.0,8.4,8.2,8.6,-0.14000034,-1.6393483,10.0,13.0,0.7897970239257812,False,REGULAR,USD,2025-05-16
IBIT250516C00069000,2024-11-22 20:41:46+00:00,69.0,8.1,7.9,8.4,-0.21000004,-2.5270762,54.0,157.0,0.7907735766601562,False,REGULAR,USD,2025-05-16
IBIT250516C00070000,2024-11-22 20:57:28+00:00,70.0,7.85,7.7,8.0,0.0,0.0,1063.0,5928.0,0.7879659875488281,False,REGULAR,USD,2025-05-16
IBIT250516C00075000,2024-11-22 20:26:15+00:00,75.0,6.94,6.8,7.0,0.09000015,1.3138709,2372.0,777.0,0.8021260021972656,False,REGULAR,USD,2025-05-16
IBIT250516C00080000,2024-11-22 20:25:57+00:00,80.0,6.0,6.0,6.2,-0.19000006,-3.0694678,224.0,785.0,0.8153094641113281,False,REGULAR,USD,2025-05-16
IBIT250516C00085000,2024-11-22 20:40:35+00:00,85.0,5.39,5.2,5.6,-0.010000229,-0.18518943,2349.0,534.0,0.8260515441894529,False,REGULAR,USD,2025-05-16
IBIT250516C00090000,2024-11-22 19:41:15+00:00,90.0,4.85,4.7,5.0,-0.05000019,-1.0204121,114.0,1497.0,0.8394791442871092,False,REGULAR,USD,2025-05-16
IBIT250516C00095000,2024-11-22 20:17:45+00:00,95.0,4.36,4.2,4.5,-0.03999996,-0.90909004,26.0,142.0,0.8500991552734375,False,REGULAR,USD,2025-05-16
IBIT250516C00100000,2024-11-22 20:59:02+00:00,100.0,4.0,3.8,4.1,0.0,0.0,1861.0,5455.0,0.862428133544922,False,REGULAR,USD,2025-05-16
IBIT260116C00030000,2024-11-22 20:46:47+00:00,30.0,33.13,33.0,33.4,0.33000183,1.0061032,1014.0,2257.0,0.9760744580078126,True,REGULAR,USD,2026-01-16
IBIT260116C00031000,2024-11-22 19:38:34+00:00,31.0,32.65,31.4,33.3,1.1500015,3.6507986,16.0,21.0,0.9516606396484374,True,REGULAR,USD,2026-01-16
IBIT260116C00032000,2024-11-21 14:49:46+00:00,32.0,30.0,30.7,33.0,0.0,0.0,4.0,5.0,0.9533696069335937,True,REGULAR,USD,2026-01-16
IBIT260116C00035000,2024-11-22 20:56:33+00:00,35.0,29.77,29.4,30.3,-0.07999992,-0.26800644,84.0,61.0,0.9200447448730469,True,REGULAR,USD,2026-01-16
IBIT260116C00036000,2024-11-20 16:19:23+00:00,36.0,27.5,0.0,0.0,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
IBIT260116C00037000,2024-11-21 14:46:48+00:00,37.0,27.43,0.0,0.0,1.9300003,7.568629,,,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
IBIT260116C00040000,2024-11-22 20:24:43+00:00,40.0,27.3,26.9,27.5,0.32999992,1.2235814,559.0,4561.0,0.9021005883789062,True,REGULAR,USD,2026-01-16
IBIT260116C00041000,2024-11-22 20:58:58+00:00,41.0,26.8,25.6,26.8,-0.35000038,-1.2891358,8.0,4.0,0.870118486328125,True,REGULAR,USD,2026-01-16
IBIT260116C00042000,2024-11-22 15:38:02+00:00,42.0,26.4,25.6,26.5,0.69999886,2.7237308,3.0,180.0,0.8867198828124999,True,REGULAR,USD,2026-01-16
IBIT260116C00043000,2024-11-21 17:31:16+00:00,43.0,25.61,24.9,26.2,0.6500015,2.604173,3.0,13.0,0.8829357409667968,True,REGULAR,USD,2026-01-16
IBIT260116C00044000,2024-11-22 20:09:24+00:00,44.0,25.36,24.4,25.5,0.26000023,1.0358574,15.0,26.0,0.8731702136230468,True,REGULAR,USD,2026-01-16
IBIT260116C00045000,2024-11-22 20:59:30+00:00,45.0,24.9,24.6,25.3,0.39999962,1.6326514,18.0,209.0,0.8953867883300779,True,REGULAR,USD,2026-01-16
IBIT260116C00047000,2024-11-22 15:56:11+00:00,47.0,25.2,23.1,24.3,3.5,16.129032,3.0,2.0,0.8715833154296875,True,REGULAR,USD,2026-01-16
IBIT260116C00048000,2024-11-22 18:42:02+00:00,48.0,23.21,22.9,23.7,1.8099995,8.457942,40.0,140.0,0.8710950390625,True,REGULAR,USD,2026-01-16
IBIT260116C00049000,2024-11-19 19:02:40+00:00,49.0,20.5,0.0,0.0,0.0,0.0,,,1.0000000000000003e-05,True,REGULAR,USD,2026-01-16
IBIT260116C00050000,2024-11-22 20:56:28+00:00,50.0,22.6,22.1,22.9,0.10000038,0.44444615,234.0,2561.0,0.8687146917724609,True,REGULAR,USD,2026-01-16
IBIT260116C00051000,2024-11-22 18:31:04+00:00,51.0,21.92,21.5,22.6,-0.07999992,-0.36363602,104.0,396.0,0.8645643426513672,True,REGULAR,USD,2026-01-16
IBIT260116C00052000,2024-11-22 18:52:08+00:00,52.0,21.55,20.9,22.0,-0.15000153,-0.6912512,46.0,1653.0,0.8529067443847658,True,REGULAR,USD,2026-01-16
IBIT260116C00053000,2024-11-22 20:46:28+00:00,53.0,21.7,20.9,21.9,0.40999985,1.925786,66.0,868.0,0.8673108972167969,True,REGULAR,USD,2026-01-16
IBIT260116C00054000,2024-11-22 20:30:02+00:00,54.0,21.12,20.5,21.4,0.22000122,1.0526373,123.0,1215.0,0.8622450299072266,True,REGULAR,USD,2026-01-16
IBIT260116C00055000,2024-11-22 20:39:49+00:00,55.0,20.4,20.2,20.9,-0.10000038,-0.48780674,175.0,891.0,0.8592543371582031,True,REGULAR,USD,2026-01-16
IBIT260116C00056000,2024-11-22 20:54:19+00:00,56.0,20.15,19.8,20.5,-0.14999962,-0.73891443,213.0,92.0,0.8559584716796875,True,REGULAR,USD,2026-01-16
IBIT260116C00057000,2024-11-22 20:56:28+00:00,57.0,19.9,19.5,20.3,-0.25,-1.2406948,42.0,317.0,0.85937640625,False,REGULAR,USD,2026-01-16
IBIT260116C00058000,2024-11-22 20:51:57+00:00,58.0,19.9,19.1,20.0,0.54999924,2.8423731,7.0,97.0,0.8577895080566407,False,REGULAR,USD,2026-01-16
IBIT260116C00059000,2024-11-22 20:23:36+00:00,59.0,19.36,18.8,19.8,1.0200005,5.5616164,28.0,57.0,0.8604750280761719,False,REGULAR,USD,2026-01-16
IBIT260116C00060000,2024-11-22 20:46:43+00:00,60.0,19.0,18.5,19.1,0.4699993,2.5364237,673.0,2888.0,0.851563984375,False,REGULAR,USD,2026-01-16
IBIT260116C00061000,2024-11-22 19:12:18+00:00,61.0,18.8,18.2,18.6,0.79999924,4.44444,19.0,59.0,0.8470474279785156,False,REGULAR,USD,2026-01-16
IBIT260116C00062000,2024-11-22 15:24:58+00:00,62.0,18.52,17.8,18.7,2.2200012,13.61964,1.0,7.0,0.8532729516601563,False,REGULAR,USD,2026-01-16
IBIT260116C00063000,2024-11-22 20:31:45+00:00,63.0,18.03,17.5,18.3,1.9300003,11.987579,3.0,35.0,0.8504653625488281,False,REGULAR,USD,2026-01-16
IBIT260116C00064000,2024-11-21 16:50:42+00:00,64.0,16.9,17.3,18.1,0.0,0.0,2.0,11.0,0.8539443316650392,False,REGULAR,USD,2026-01-16
IBIT260116C00065000,2024-11-22 19:06:34+00:00,65.0,17.66,17.1,18.0,0.26000023,1.4942542,92.0,837.0,0.8592543371582031,False,REGULAR,USD,2026-01-16
IBIT260116C00066000,2024-11-22 20:48:59+00:00,66.0,17.5,16.8,17.7,2.1000004,13.636367,17.0,7.0,0.8578505426025391,False,REGULAR,USD,2026-01-16
IBIT260116C00067000,2024-11-20 16:36:36+00:00,67.0,15.1,0.0,0.0,0.0,0.0,,,0.0312596875,False,REGULAR,USD,2026-01-16
IBIT260116C00068000,2024-11-21 20:55:54+00:00,68.0,16.48,16.4,17.3,0.12999916,0.7951018,6.0,21.0,0.8629164099121094,False,REGULAR,USD,2026-01-16
IBIT260116C00069000,2024-11-22 16:26:05+00:00,69.0,16.7,16.3,17.3,0.5799999,3.5980144,1.0,36.0,0.871522280883789,False,REGULAR,USD,2026-01-16
IBIT260116C00070000,2024-11-22 20:58:36+00:00,70.0,16.42,16.1,16.6,0.3199997,1.9875758,134.0,657.0,0.8627943408203125,False,REGULAR,USD,2026-01-16
IBIT260116C00075000,2024-11-22 20:47:54+00:00,75.0,15.26,15.0,15.4,0.25,1.6655562,182.0,645.0,0.8632826171875,False,REGULAR,USD,2026-01-16
IBIT260116C00080000,2024-11-22 20:29:38+00:00,80.0,14.5,13.5,14.6,0.65999985,4.768785,314.0,851.0,0.8592543371582031,False,REGULAR,USD,2026-01-16
IBIT260116C00085000,2024-11-22 20:17:06+00:00,85.0,13.25,12.6,14.4,0.13000011,0.99085456,13.0,161.0,0.8761609063720703,False,REGULAR,USD,2026-01-16
IBIT260116C00090000,2024-11-22 20:52:29+00:00,90.0,12.7,12.0,12.7,0.34999943,2.8340034,123.0,960.0,0.8647474462890624,False,REGULAR,USD,2026-01-16
IBIT260116C00095000,2024-11-22 19:41:02+00:00,95.0,11.5,11.4,12.3,-0.3000002,-2.5423744,37.0,225.0,0.8771984936523438,False,REGULAR,USD,2026-01-16
IBIT260116C00100000,2024-11-22 20:59:37+00:00,100.0,11.3,11.0,11.3,0.57000065,5.3122153,4377.0,11886.0,0.8786022882080078,False,REGULAR,USD,2026-01-16
IBIT270115C00030000,2024-11-22 20:59:55+00:00,30.0,37.7,37.7,38.0,0.17000198,0.45297626,1877.0,5133.0,0.9825441198730469,True,REGULAR,USD,2027-01-15
IBIT270115C00031000,2024-11-21 20:48:20+00:00,31.0,37.5,37.2,37.8,0.9000015,2.4590206,1.0,246.0,0.984497225341797,True,REGULAR,USD,2027-01-15
IBIT270115C00032000,2024-11-21 15:45:17+00:00,32.0,35.29,35.5,37.6,0.0,0.0,1.0,17.0,0.9523320196533203,True,REGULAR,USD,2027-01-15
IBIT270115C00034000,2024-11-21 16:42:59+00:00,34.0,34.97,0.0,0.0,1.670002,5.0150213,,,1.0000000000000003e-05,True,REGULAR,USD,2027-01-15
IBIT270115C00035000,2024-11-22 20:23:04+00:00,35.0,35.5,34.2,36.2,-1.0,-2.739726,73.0,159.0,0.9403692486572266,True,REGULAR,USD,2027-01-15
IBIT270115C00036000,2024-11-22 16:35:26+00:00,36.0,34.5,33.2,36.2,0.41999817,1.2323889,2.0,7.0,0.9333502758789063,True,REGULAR,USD,2027-01-15
IBIT270115C00038000,2024-11-21 14:44:14+00:00,38.0,33.29,32.9,34.6,0.0,0.0,2.0,10.0,0.9216316430664062,True,REGULAR,USD,2027-01-15
IBIT270115C00039000,2024-11-21 14:50:48+00:00,39.0,32.93,32.5,34.1,0.0,0.0,3.0,9.0,0.9167488793945313,True,REGULAR,USD,2027-01-15
IBIT270115C00040000,2024-11-22 20:45:56+00:00,40.0,33.8,33.3,34.1,0.79999924,2.42424,35.0,272.0,0.9516606396484374,True,REGULAR,USD,2027-01-15
IBIT270115C00041000,2024-11-21 20:28:06+00:00,41.0,32.27,31.5,33.8,0.0,0.0,5.0,24.0,0.9180916394042968,True,REGULAR,USD,2027-01-15
IBIT270115C00042000,2024-11-21 20:47:58+00:00,42.0,31.39,31.0,33.5,0.0,0.0,3.0,12.0,0.9148568084716797,True,REGULAR,USD,2027-01-15
IBIT270115C00043000,2024-11-21 20:48:20+00:00,43.0,31.2,30.5,32.8,0.0,0.0,5.0,20.0,0.9026498992919922,True,REGULAR,USD,2027-01-15
IBIT270115C00044000,2024-11-22 18:08:27+00:00,44.0,31.17,30.4,32.2,0.960001,3.1777592,40.0,58.0,0.901368173828125,True,REGULAR,USD,2027-01-15
IBIT270115C00045000,2024-11-22 20:53:58+00:00,45.0,31.36,29.8,31.7,0.060001373,0.19169769,32.0,105.0,0.8913585083007811,True,REGULAR,USD,2027-01-15
IBIT270115C00046000,2024-11-22 14:56:32+00:00,46.0,30.15,29.5,31.7,-0.15999985,-0.5278781,1.0,6.0,0.8982554119873045,True,REGULAR,USD,2027-01-15
IBIT270115C00047000,2024-11-21 16:33:52+00:00,47.0,30.3,29.3,31.4,0.0,0.0,6.0,14.0,0.9005136901855468,True,REGULAR,USD,2027-01-15
IBIT270115C00048000,2024-11-21 19:43:42+00:00,48.0,30.24,0.0,0.0,1.4400005,5.0000024,,,1.0000000000000003e-05,True,REGULAR,USD,2027-01-15
IBIT270115C00049000,2024-11-21 19:54:00+00:00,49.0,29.7,29.3,30.6,0.0,0.0,3.0,24.0,0.9083261120605468,True,REGULAR,USD,2027-01-15
IBIT270115C00050000,2024-11-22 20:56:32+00:00,50.0,29.4,29.3,29.7,1.1000004,3.8869274,800.0,1078.0,0.9017343811035157,True,REGULAR,USD,2027-01-15
IBIT270115C00051000,2024-11-22 17:38:18+00:00,51.0,29.4,28.5,29.6,0.8999996,3.1578937,9.0,51.0,0.8950205810546874,True,REGULAR,USD,2027-01-15
IBIT270115C00052000,2024-11-22 20:36:20+00:00,52.0,29.0,28.5,29.4,0.6700001,2.3649843,23.0,213.0,0.9021005883789062,True,REGULAR,USD,2027-01-15
IBIT270115C00053000,2024-11-22 19:20:13+00:00,53.0,28.8,28.5,28.8,0.39999962,1.4084494,68.0,272.0,0.9010019665527342,True,REGULAR,USD,2027-01-15
IBIT270115C00054000,2024-11-21 20:01:23+00:00,54.0,27.87,0.0,0.0,1.5700016,5.969588,,,1.0000000000000003e-05,True,REGULAR,USD,2027-01-15
IBIT270115C00055000,2024-11-22 20:58:06+00:00,55.0,27.74,27.4,28.1,-0.059999466,-0.21582541,53.0,810.0,0.8869640209960936,True,REGULAR,USD,2027-01-15
IBIT270115C00056000,2024-11-22 20:59:19+00:00,56.0,27.3,26.8,27.7,-0.10000038,-0.3649649,250.0,384.0,0.8780529772949219,True,REGULAR,USD,2027-01-15
IBIT270115C00057000,2024-11-22 20:34:24+00:00,57.0,27.38,27.1,27.5,0.26999855,0.9959371,51.0,102.0,0.8895885064697264,False,REGULAR,USD,2027-01-15
IBIT270115C00058000,2024-11-22 17:56:43+00:00,58.0,27.0,26.5,27.5,-0.049999237,-0.18484007,20.0,14.0,0.8878185046386717,False,REGULAR,USD,2027-01-15
IBIT270115C00059000,2024-11-20 14:30:02+00:00,59.0,24.9,0.0,0.0,0.0,0.0,,,0.007822421875,False,REGULAR,USD,2027-01-15
IBIT270115C00060000,2024-11-22 20:58:06+00:00,60.0,26.34,26.2,26.6,0.040000916,0.15209474,178.0,377.0,0.8840343627929688,False,REGULAR,USD,2027-01-15
IBIT270115C00062000,2024-11-20 20:40:13+00:00,62.0,23.32,0.0,0.0,0.0,0.0,,,0.015634843750000002,False,REGULAR,USD,2027-01-15
IBIT270115C00063000,2024-11-20 16:02:21+00:00,63.0,24.1,0.0,0.0,0.0,0.0,,,0.015634843750000002,False,REGULAR,USD,2027-01-15
IBIT270115C00064000,2024-11-22 19:22:15+00:00,64.0,25.68,24.2,26.0,2.7800007,12.139741,49.0,7.0,0.8714612463378906,False,REGULAR,USD,2027-01-15
IBIT270115C00065000,2024-11-22 18:28:13+00:00,65.0,24.99,24.2,26.0,0.48999977,1.999999,6.0,88.0,0.8794567718505859,False,REGULAR,USD,2027-01-15
IBIT270115C00067000,2024-11-21 18:16:08+00:00,67.0,24.6,23.8,25.4,0.21000099,0.86101264,2.0,2.0,0.8775647009277343,False,REGULAR,USD,2027-01-15
IBIT270115C00068000,2024-11-21 15:39:22+00:00,68.0,22.7,23.4,25.2,0.0,0.0,4.0,5.0,0.8746960772705077,False,REGULAR,USD,2027-01-15
IBIT270115C00069000,2024-11-21 14:30:10+00:00,69.0,23.0,23.3,24.8,0.0,0.0,1.0,92.0,0.8734753863525391,False,REGULAR,USD,2027-01-15
IBIT270115C00070000,2024-11-21 18:45:54+00:00,70.0,23.4,0.0,0.0,0.8999996,3.9999983,,,0.0312596875,False,REGULAR,USD,2027-01-15
IBIT270115C00075000,2024-11-22 14:53:43+00:00,75.0,22.26,22.7,24.3,-0.90999985,-3.9274917,3.0,198.0,0.8957529956054686,False,REGULAR,USD,2027-01-15
IBIT270115C00080000,2024-11-22 20:47:32+00:00,80.0,22.4,21.6,22.5,0.6000004,2.7522955,60.0,574.0,0.8786633227539062,False,REGULAR,USD,2027-01-15
IBIT270115C00085000,2024-11-22 16:44:42+00:00,85.0,20.6,20.5,21.7,0.6000004,3.000002,3.0,27.0,0.8760998718261719,False,REGULAR,USD,2027-01-15
IBIT270115C00090000,2024-11-22 19:30:16+00:00,90.0,20.6,19.9,21.0,0.8999996,4.568526,63.0,192.0,0.881287808227539,False,REGULAR,USD,2027-01-15
IBIT270115C00095000,2024-11-22 19:55:12+00:00,95.0,20.45,19.3,20.4,1.9000015,10.242597,22.0,70.0,0.8862926409912109,False,REGULAR,USD,2027-01-15
IBIT270115C00100000,2024-11-22 20:58:48+00:00,100.0,18.82,18.7,19.4,0.21999931,1.182792,859.0,3825.0,0.8836071209716796,False,REGULAR,USD,2027-01-15
